incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
BEU-2369,METZ,2016,42512,42515,MONTEREY,NA,NA,NA,NA,NA,3876,CAL FIRE,BG,DEBRIS BURNING,csv
MVU-14498,BORDER 3,2016,42540,42552,SAN DIEGO,NA,16,3,NA,2,7609,CAL FIRE,BG,UNDETERMINED,csv
MMU-12363,DINOSAUR,2016,42546,42547,MERCED,NA,NA,NA,NA,NA,1246,CAL FIRE,G,VEHICLE,csv
AEU-17670,RANCHO,2016,42549,42551,SACRAMENTO,NA,NA,NA,NA,NA,372,CAL FIRE,G,VEHICLE,csv
NEU-15200,TRAILHEAD,2016,42549,42596,PLACER,NA,NA,NA,NA,NA,5645,CAL FIRE,BT,UNDETERMINED,csv
TGU-5731,COLYEAR,2016,42551,42557,TEHAMA,NA,NA,NA,NA,NA,464,CAL FIRE,BG,ELECTRICAL POWER,csv
FKU-9100,CURRY,2016,42552,42555,FRESNO,NA,NA,NA,NA,NA,2944,CAL FIRE,BG,UNDETERMINED,csv
TCU-6914,APPALOOSA,2016,42553,42566,CALAVERAS,NA,1,NA,NA,NA,310,CAL FIRE,BGT,ELECTRICAL POWER,csv
SHU-6739,FIDDLER,2016,42559,42560,SHASTA,NA,1,1,NA,NA,303,CAL FIRE,BGT,ARSON,csv
TCU-7341,PACHECO,2016,42563,42569,CALAVERAS,NA,2,NA,NA,NA,341,CAL FIRE,BGT,EQUIPMENT,csv
BEU-3422,SOBERANES,2016,42573,42610,MONTEREY,NA,68,5,1,NA,103242,CAL FIRE,BGT,CAMPFIRE,csv
FKU-10852,GOOSE,2016,42581,42591,FRESNO,NA,9,1,NA,NA,2241,CAL FIRE,BG,ARSON,csv
BTU-11608,99,2016,42584,42590,BUTTE,NA,NA,NA,NA,NA,520,CAL FIRE,G,PLAYING WITH FIRE,csv
LNU-7135,COLD,2016,42584,42594,YOLO,NA,2,NA,NA,NA,5731,CAL FIRE,BG,UNDETERMINED,csv
FKU-11358,MINERAL,2016,42590,42601,FRESNO,NA,2,NA,NA,NA,7050,CAL FIRE,BG,ARSON,csv
SLU-8948,CHIMNEY,2016,42595,42620,SAN LUIS OBISPO,NA,70,8,NA,NA,46235,CAL FIRE,BT,VEHICLE,csv
LNU-7582,CLAYTON,2016,42595,42616,LAKE,NA,300,28,NA,NA,3929,CAL FIRE,BG,ARSON,csv
NEU-20037,BEALE,2016,42600,42601,YUBA,NA,NA,NA,NA,NA,389,CAL FIRE,G,MISCELLANEOUS,csv
HUU-6956,TULLY,2016,42604,42622,HUMBOLDT,NA,3,NA,NA,NA,599,CAL FIRE,BT,ARSON,csv
SKU-7392,GRADE,2016,42606,42623,SISKIYOU,NA,10,1,NA,NA,710,CAL FIRE,BGT,ELECTRICAL POWER,csv
TCU-9339,WILLOW,2016,42610,42617,CALAVERAS,NA,NA,1,NA,NA,450,CAL FIRE,BGT,VEHICLE,csv
RRU-105125,BOGART,2016,42612,42618,RIVERSIDE,NA,1,NA,NA,NA,1470,CAL FIRE,BG,UNDETERMINED,csv
BTU-13655,SADDLE,2016,42618,42635,BUTTE,NA,3,NA,NA,NA,800,CAL FIRE,BGT,VEHICLE,csv
LMU-4700,HOWARD,2016,42624,42628,MODOC,NA,NA,NA,NA,NA,380,CAL FIRE,BGT,RAILROAD,csv
LMU-4695,WILLARD,2016,42624,42655,LASSEN,NA,7,NA,NA,NA,2575,CAL FIRE,BGT,UNDETERMINED,csv
TGU-8080,HOG,2016,42626,42626,TAHEMA,NA,NA,NA,NA,NA,321,CAL FIRE,BGT,ELECTRICAL POWER,csv
LNU-9129,SAWMILL,2016,42638,42644,SONOMA,NA,NA,NA,NA,NA,1547,CAL FIRE,BG,UNDETERMINED,csv
TCU-10403,MARSHES,2016,42639,42647,TUOLUMNE,NA,NA,NA,NA,NA,1080,CAL FIRE,BGT,VEHICLE,csv
SCU-6912,LOMA,2016,42639,42682,SANTA CLARA,NA,28,1,NA,NA,4474,CAL FIRE,BT,UNDETERMINED,csv
SLU-5280,CAMP ROBERTS,2016,42508,42510,SAN LUIS OBISPO,NA,NA,NA,NA,NA,3712,MIL,G,UNDETERMINED,csv
CND-1134,CHIMNEY,2016,42522,42528,TULARE,NA,NA,NA,NA,NA,1324,BLM,BG,HUMAN,csv
FHL-1475,STONY,2016,42523,42538,MONTEREY,NA,NA,NA,NA,NA,3000,USFS,BG,UNDETERMINED,csv
CND-1171,SODA,2016,42525,42527,SAN LUIS OBISPO,NA,NA,NA,NA,NA,2003,BLM,BG,UNDETERMINED,csv
LAC-457,OLD,2016,42525,42531,LOS ANGELES,NA,9,1,NA,NA,465,LOCAL,BG,UNDETERMINED,csv
LPF-1504,COLEMAN,2016,42525,42538,MONTEREY,NA,1,NA,NA,NA,2520,USFS,BG,UNDETERMINED,csv
