incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
NA,Fort,2009,02/05/09,02/07/09,San Bernardino,0,NA,NA,0,0,NA,NA,Brush,Debris,pdf
NA,Mustang,2009,05/13/09,05/16/09,Stanislaus,0,NA,NA,0,0,NA,NA,Grass,Debris,pdf
NA,Oliver,2009,05/27/09,05/27/09,Riverside,0,NA,NA,0,0,NA,NA,Grass,Other,pdf
NA,TUU Lightning Complex,2009,05/28/09,05/31/09,Tulare,0,NA,NA,0,0,NA,NA,Grass,Lightning,pdf
NA,Explosive,2009,06/19/09,06/19/09,San Joaquin,0,NA,NA,0,0,NA,NA,Grass,Equipment Use,pdf
NA,Rock,2009,06/28/09,06/28/09,Calaveras,0,NA,NA,0,0,NA,NA,Grass,Powerline,pdf
NA,Rumsey,2009,06/29/09,07/02/09,Yolo,0,NA,NA,0,0,NA,NA,Brush,Equipment Use,pdf
NA,Mammoth,2009,07/16/09,07/18/09,Placer,0,NA,NA,0,0,NA,NA,Grass,Undetermined,pdf
NA,Ash,2009,07/27/09,07/29/09,Madera,0,NA,NA,0,0,NA,NA,Grass,Equipment Use,pdf
NA,Chalk (SHU Complex),2009,08/03/09,08/16/09,Shasta,0,NA,NA,0,0,NA,NA,Timber,Lightning,pdf
NA,One-Eleven (SHU Complex),2009,08/03/09,08/17/09,Shasta,0,NA,NA,0,0,NA,NA,Timber,Lightning,pdf
NA,Goose (SHU Complex),2009,08/03/09,08/17/09,Shasta,0,NA,NA,0,0,NA,NA,Timber,Lightning,pdf
NA,Gomez (SHU Complex),2009,08/03/09,08/17/09,Shasta,0,NA,NA,0,0,NA,NA,Timber,Lightning,pdf
NA,Cassel (SHU Complex),2009,08/03/09,08/14/09,Shasta,0,NA,NA,0,0,NA,NA,Timber,Lightning,pdf
NA,Lockheed,2009,08/12/09,08/23/09,Santa Cruz,13,NA,NA,0,0,NA,NA,"Brush, Timber",Undetermined,pdf
NA,Coffin,2009,08/12/09,08/15/09,Trinity,0,NA,NA,0,0,NA,NA,Timber,Incendiary,pdf
NA,Corral,2009,08/13/09,08/16/09,San Joaquin,2,NA,NA,0,0,NA,NA,Grass,Other,pdf
NA,Yuba,2009,08/14/09,08/24/09,Yuba,0,NA,NA,0,0,NA,NA,"Timber, Brush, Grass",Undetermined,pdf
NA,Bryson,2009,08/26/09,08/29/09,Monterey,1,NA,NA,0,0,NA,NA,Brush,Structure,pdf
NA,Gloria,2009,08/27/09,09/01/09,Monterey,1,NA,NA,0,0,NA,NA,Grass,Other,pdf
NA,Day,2009,08/27/09,08/30/09,Lassen,0,NA,NA,0,0,NA,NA,Timber,Undetermined,pdf
NA,Pacheco,2009,08/29/09,08/30/09,Santa Clara,0,NA,NA,0,0,NA,NA,Grass,Equipment Use,pdf
NA,Oak Glen III,2009,08/30/09,09/08/09,San Bernardino,0,NA,NA,0,0,NA,NA,"Brush, Grass",Undetermined,pdf
NA,Forty Nine,2009,08/30/09,09/01/09,Placer,97,NA,NA,0,0,NA,NA,Grass,Arson,pdf
NA,Oasis,2009,09/07/09,09/12/09,Lake,0,NA,NA,0,0,NA,NA,Brush,Open Outdoors,pdf
NA,Vail,2009,09/19/09,09/20/09,Riverside,9,NA,NA,0,0,NA,NA,Brush,Equipment Use,pdf
NA,Loma,2009,10/25/09,10/27/09,Santa Cruz,0,NA,NA,0,0,NA,NA,"Timber, Brush",Undetermined,pdf
NA,Hernrick VMP,2009,11/14/09,11/14/09,San Luis Obispo,0,NA,NA,0,0,NA,NA,Grass,Debris,pdf
LPF-1479,JESUSITA,2009,05/05/09,05/20/09,SANTA BARBARA,NA,160,17,0,0,"8,733",USFS,B,EQUIPMENT USE,pdf
JTP-7519,LOST HORSE,2009,05/24/09,06/02/09,RIVERSIDE,NA,0,0,0,0,450,NPS,G,MISCELLANEOUS HUMAN,pdf
YNP-1510,GROUSE,2009,05/30/09,08/12/09,MARIPOSA,NA,0,0,0,0,"3,007",NPS,T,LIGHTNING,pdf
YNP-1659,HARDEN,2009,06/08/09,08/09/09,TUOLUMNE,NA,0,0,0,0,"1,654",NPS,T,LIGHTNING,pdf
SQF-2025,SHOTGUN,2009,06/17/09,07/11/09,TULARE,NA,0,0,0,0,900,USFS,T,LIGHTNING,pdf
KRN-18041,PARKWAY,2009,06/22/09,06/22/09,KERN,NA,0,0,0,0,690,CO,G,EQUIPMENT USE,pdf
SQF-2139,LION,2009,06/30/09,08/21/09,TULARE,NA,0,0,0,0,"2,577",USFS,TB,LIGHTNING,pdf
SQF-2139,GRANITE,2009,06/30/09,08/21/09,TULARE,NA,0,0,0,0,"1,417",USFS,TB,LIGHTNING,pdf
SRF-1131,REDSPOT,2009,07/01/09,07/24/09,TRINITY/HUMBOLDT,NA,0,0,0,0,"1,120",USFS,T,LIGHTNING,pdf
SRF-1131,BACKBONE,2009,07/07/09,07/24/09,TRINITY/HUMBOLDT,NA,0,0,1,0,"5,065",USFS,T,LIGHTNING,pdf
MCP-091662,YANKEE,2009,07/11/09,07/14/09,SAN DIEGO,NA,0,0,0,0,"2,200",MIL,BG,UNIDENTIFIED,pdf
LPF-2787,SULPHUR,2009,07/11/09,07/13/09,VENTURA,NA,0,0,0,0,343,USFS,BG,MISCELLANEOUS,pdf
ANF-2787,OS ITO,2009,07/13/09,07/15/09,LOS ANGELES,NA,0,0,0,0,304,USFS,B,EQUIPMENT USE,pdf
INF-885,FORK,2009,07/18/09,07/27/09,INYO,NA,0,0,0,0,"3,268",USFS,T,LIGHTNING,pdf
KNF-4692,TENNANT,2009,07/19/09,07/27/09,SISKIYOU,NA,3,0,0,0,"3,226",USFS,TB,EQUIPMENT USE,pdf
STF-2207,KNIGHT,2009,07/26/09,08/11/09,TUOLUMNE,NA,0,0,0,0,"6,130",USFS,TB,MISCELLANEOUS,pdf
YNP-2968,WILDCAT,2009,07/29/09,08/31/09,TUOLUMNE,NA,0,0,0,0,"1,255",NPS,T,LIGHTNING,pdf
NOD-3741,DODGE COMPLEX (SIX FIRES),2009,08/01/09,08/03/09,LASSEN,NA,0,0,0,0,"1,600",BLM,BG,LIGHTNING,pdf
LPF-2536,PONDEROSA,2009,08/01/09,08/07/09,MONTEREY,NA,0,0,0,0,458,USFS,B,MISCELLANEOUS,pdf
LNF-3923,SUGAR LOAF,2009,08/01/09,08/12/09,SHASTA,NA,0,0,0,0,"9,356",USFS,T,LIGHTNING,pdf
LNF-3874,BROWN (H-31),2009,08/02/09,08/12/09,SHASTA,NA,0,0,0,0,"1,865",USFS,T,LIGHTNING,pdf
LN P-3883,FAIRFIELD,2009,08/03/09,09/30/09,SHASTA,NA,0,0,0,0,"1,664",NPS,T,LIGHTNING,pdf
LPF-2631,LA BREA,2009,08/08/09,08/23/09,SANTA BARBARA,NA,2,0,0,0,"91,622",USFS,T,CAMPFIRE,pdf
PNF-782,ELEPHANT,2009,08/16/09,08/31/09,PLUMAS,NA,0,0,0,0,445,USFS,T,MISCELLANEOUS,pdf
KNF-5754,RED ROCK,2009,08/21/09,09/05/09,SISKIYOU,NA,0,0,0,0,"1,364",USFS,T,MISCELLANEOUS,pdf
ANF-3616,MORRIS,2009,08/25/09,09/03/09,LOS ANGELES,NA,0,0,0,0,"2,163",USFS,T,ARSON,pdf
ANF-3622,STATION,2009,08/26/09,10/16/09,LOS ANGELES,NA,209,57,2,0,"160,577",USFS,T,ARSON,pdf
YN P-3660,BIG MEADOWS,2009,08/26/09,09/07/09,MARIPOSA,NA,0,0,0,0,"7,425",NPS,B,MISCELLANEOUS- HUMAN,pdf
MCP-2601,RIDGE,2009,08/26/09,08/29/09,SAN DIEGO,NA,0,0,0,0,500,MIL,T,UNIDENTIFIED,pdf
DF-11598,COTTONWOOD,2009,08/27/09,08/31/09,RIVERSIDE,NA,0,0,0,0,"2,409",USFS,BG,MISCELLANEOUS,pdf
BDU-9640,PENDLETON,2009,08/31/09,09/04/09,SAN BERNARDINO,NA,0,0,0,0,860,MIL,BG,MISCELLANEOUS,pdf
PNF-961,SILVER,2009,09/19/09,09/21/09,PLUMAS,NA,0,0,0,0,307,USFS,T,MISCELLANEOUS,pdf
VNC-54871,GUIBERSON,2009,09/22/09,10/01/09,VENTURA,NA,0,0,0,0,"17,500",CC,BG,SPONTANEOUS COMBUSTION,pdf
BDU-10682,CRAFTON,2009,09/23/09,09/26/09,SAN BERNARDINO,NA,0,0,0,0,347,LOCAL,G,UNDETERMINED,pdf
AFV-3254,HIGHWAY,2009,10/01/09,10/03/09,VANDENBURG AFB,NA,0,0,0,0,617,MIL,B,MISCELLANEOUS,pdf
LNU-7321,SIX (NOT IN NFIRS),2009,10/01/09,10/01/09,YOLO,NA,0,0,0,0,"1,235",LOCAL,TB,UNIDENTIFIED,pdf
BDF-13278,SHEEP,2009,10/03/09,10/10/09,SAN BERNARDINO,NA,5,0,0,0,"7,128",USFS,TB,MISCELLANEOUS,pdf
HIA-0221,MILL CREEK #4,2009,10/07/09,10/17/09,HUMBOLDT,NA,0,0,0,0,"3,800",BIA,T,UNIDENTIFIED,pdf
MNF-1745,DOE,2009,11/28/09,11/29/09,GLENN,NA,3,0,0,0,550,USFS,B,MISCELLANEOUS,pdf
CONTRACT COUNTIES,LTNG.,2009,CAMP-FIRE,SMOKING,TOTAL,NA,MISC.,VEHICLE,UNDETER MINED,NA,RAILROAD,DEBRIS BURNING,PLAY. W/FIRE,ELEC. POWER,pdf
CONTRACT COUNTIES,LTNG.,2009,CAMP-FIRE,SMOKING,TOTAL,NA,MISC.,VEHICLE,UNDETER MINED,NA,RAILROAD,DEBRIS BURNING,PLAY. W/FIRE,ELEC. POWER,pdf
NORTHERN REGION,A .25 acres or <,2009,B.26-9acres,C10-99acres,Total,NA,NA,NA,NA,NA,G 5000 acres >,D 100-299 acres,NA,NA,pdf
NORTHERN REGION,A .25 acres or <,2009,B.26-9acres,C10-99acres,Total,NA,NA,NA,NA,NA,G 5000 acres >,D 100-299 acres,NA,NA,pdf
SOUTHERN REGION,A .25 acres or <,2009,B.26-9acres,C10-99acres,Total,NA,NA,NA,NA,NA,G 5000 acres >,D 100-299 acres,NA,NA,pdf
NORTHERN REGION,A .25 acres or <,2009,B.26-9acres,C10-99acres,Total,NA,NA,NA,NA,NA,G 5000 acres >,D 100-299 acres,NA,NA,pdf
NORTHERN REGION,A .25 acres or <,2009,B.26-9acres,C10-99acres,Total,NA,NA,NA,NA,NA,G 5000 acres >,D 100-299 acres,NA,NA,pdf
SOUTHERN REGION,A .25 acres or <,2009,B.26-9acres,C10-99acres,Total,NA,NA,NA,NA,NA,G 5000 acres >,D 100-299 acres,NA,NA,pdf
NORTHERN REGION,A .25 acres or <,2009,B.26-9acres,C10-99acres,Total,NA,NA,NA,NA,NA,G 5000 acres >,D 100-299 acres,NA,NA,pdf
NORTHERN REGION,A .25 acres or <,2009,B.26-9acres,C10-99acres,Total,NA,NA,NA,NA,NA,G 5000 acres >,D 100-299 acres,NA,NA,pdf
SOUTHERN REGION,A .25 acres or <,2009,B.26-9acres,C10-99acres,Total,NA,NA,NA,NA,NA,G 5000 acres >,D 100-299 acres,NA,NA,pdf
