incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
RRU-34071,LINCOLN,2019,03/15/19,03/20/19,RIVERSIDE,NA,NA,NA,NA,NA,560,CAL FIRE,G,ARSON,pdf
SLU-7006,BELMONT,2019,05/29/19,05/29/19,SAN LUIS OBISPO,NA,NA,NA,NA,NA,835,CAL FIRE,G,LIGHTNING,pdf
SLU-7315,BOULDER,2019,06/05/19,06/05/19,SAN LUIS OBISPO,NA,NA,NA,NA,NA,"1,075",CAL FIRE,G,ELECTRICAL POWER,pdf
SCU-3879,STUHR,2019,06/07/19,06/07/19,STANISLAUS,NA,NA,NA,NA,NA,581,CAL FIRE,G,EQUIPMENT USE,pdf
LNU-9880,SAND,2019,06/08/19,06/15/20,COLUSA,NA,4,NA,NA,NA,"2,220",CAL FIRE,"B, G",LIGHTNING,pdf
SLU-7684,MCMILLAN,2019,06/12/19,06/13/19,SAN LUIS OBISPO,NA,NA,NA,NA,NA,"1,763",CAL FIRE,G,EQUIPMENT USE,pdf
RRU-79226,JERRY,2019,06/21/19,06/21/19,RIVERSIDE,NA,NA,NA,NA,NA,500,CAL FIRE,G,VEHICLE,pdf
BEU-3696,LONOAK,2019,06/25/19,06/26/19,MONTEREY,NA,NA,NA,NA,NA,"2,546",CAL FIRE,G,ELECTRICAL POWER,pdf
SCU-4384,ROCK,2019,06/25/19,06/27/19,STANISLAUS,NA,NA,NA,NA,NA,"2,420",CAL FIRE,"B, G",PLAYING WITH FIRE,pdf
SLU-8993,GILLIS,2019,07/08/19,07/09/19,SAN LUIS OBISPO,NA,1,1,NA,NA,"1,010",CAL FIRE,G,EQUIPMENT USE,pdf
BEU-4344,LAKE,2019,07/29/19,08/01/19,MONTEREY,NA,NA,NA,NA,NA,306,CAL FIRE,"B, G",VEHICLE,pdf
SCU-5526,MARSH CREEK 3,2019,08/03/19,08/07/19,CONTRA COSTA,NA,NA,NA,NA,NA,340,CAL FIRE,"B, G",ARSON,pdf
MMU-17062,HUNTER,2019,08/15/19,08/15/19,MARIPOSA,NA,NA,NA,NA,NA,433,CAL FIRE,G,UNDER INVESTIGATION,pdf
MMU-17127,GAINES,2019,08/16/19,08/20/19,MARIPOSA,NA,NA,NA,NA,NA,"1,300",CAL FIRE,G,UNDER INVESTIGATION,pdf
SHU-9030,MOUNTAIN,2019,08/22/19,08/31/19,SHASTA,NA,14,7,NA,NA,600,CAL FIRE,"B, G",ARSON,pdf
TUU-684,CREEK,2019,08/31/19,09/04/19,TULARE,NA,NA,NA,NA,NA,756,CAL FIRE,"B, G",EQUIPMENT USE,pdf
RRU-113828,TENAJA,2019,09/04/19,09/14/19,RIVERSIDE,NA,NA,3,NA,NA,"1,926",CAL FIRE,"B, G",UNDER INVESTIGATION,pdf
TGU-9386,RED BANK,2019,09/05/19,09/17/19,TEHAMA,NA,2,NA,NA,NA,"8,836",CAL FIRE,"B, G, T",LIGHTNING,pdf
BTU-10635,SWEDES,2019,09/07/19,09/09/19,BUTTE,NA,2,1,NA,NA,496,CAL FIRE,"B, G",ARSON,pdf
RRU-118651,HORSESHOE,2019,09/14/19,09/17/19,RIVERSIDE,NA,NA,NA,NA,NA,503,CAL FIRE,"B, G",UNDETERMINED,pdf
NEU-23002,BASELINE,2019,09/20/19,09/21/19,PLACER,NA,NA,NA,NA,NA,640,CAL FIRE,G,VEHICLE,pdf
LNU-18056,AMERICAN,2019,10/06/19,10/07/19,NAPA,NA,1,NA,NA,NA,526,CAL FIRE,"B, G",UNDETERMINED,pdf
MMU-21257,BRICEBURG,2019,10/06/19,10/20/19,MARIPOSA,NA,1,NA,NA,NA,"5,563",CAL FIRE,"B, G",VEHICLE,pdf
RRU-130198,RECHE,2019,10/10/19,10/12/19,RIVERSIDE,NA,1,1,NA,NA,350,CAL FIRE,"B, G",UNDETERMINED,pdf
SBC-25032,REAL,2019,10/17/19,10/21/19,SANTA BARBARA,NA,NA,NA,NA,NA,420,CC,"B, G",HUMAN,pdf
LNU-19376,KINCADE,2019,10/23/19,11/10/19,SONOMA,NA,374,60,NA,NA,"77,758",CAL FIRE,"B, G, T",ELECTRICAL POWER,pdf
TGU-11434,RAWSON,2019,10/26/19,10/27/19,TEHAMA,NA,1,3,NA,NA,605,CAL FIRE,G,VEHICLE,pdf
MEU-13345,BURRIS,2019,10/27/19,11/02/19,MENDOCINO,NA,NA,NA,NA,NA,703,CAL FIRE,"B, G",UNDER INVESTIGATION,pdf
VNC-41710,EASY,2019,10/30/19,11/08/19,VENTURA,NA,1,1,NA,NA,"2,375",CC,"B, T",ELECTRICAL POWER,pdf
RRU-139654,HILL,2019,10/31/19,11/03/19,RIVERSIDE,NA,NA,NA,NA,NA,628,CAL FIRE,"B, G",UNDER INVESTIGATION,pdf
RRU-139997,46TH,2019,10/31/19,10/31/19,RIVERSIDE,NA,7,7,NA,NA,328,CAL FIRE,"B, G",VEHICLE,pdf
VNC-42100,MARIA,2019,10/31/19,11/06/19,VENTURA,NA,4,NA,NA,NA,"9,999",CC,"B, G",ELECTRICAL POWER,pdf
TGU-11766,RANCH,2019,11/03/19,11/06/19,TEHAMA,NA,NA,1,NA,NA,"2,534",CAL FIRE,"B, T",CAMPFIRE,pdf
NEU-28628,FOOTHILLS,2019,11/25/19,11/25/19,PLACER,NA,NA,NA,NA,NA,308,CAL FIRE,"B, G",VEHICLE,pdf
KRN-18282,REFUGE,2019,05/07/19,05/08/19,KERN,NA,NA,NA,NA,NA,"2,500",LOCAL,G,UNDETERMINED,pdf
STF-1355,ROSASCO,2019,05/23/19,09/11/19,TUOLOMNE,NA,NA,NA,NA,NA,731,USFS,T,HUMAN,pdf
STC-13326,WEST BUTTE,2019,06/08/19,06/09/19,SUTTER,NA,7,NA,NA,NA,"1,300",LOCAL,G,UNDETERMINED,pdf
INF-903,JORDAN,2019,06/09/19,07/01/19,TULARE,NA,NA,NA,NA,NA,591,USFS,B,UNDETERMINED,pdf
MNF-241,EAST,2019,06/17/19,07/18/19,TRINITY,NA,NA,NA,NA,NA,410,USFS,"B, T",LIGHTNING,pdf
INF-1435,COW,2019,07/25/19,10/11/19,TULARE,NA,NA,NA,NA,NA,"2,025",USFS,T,LIGHTNING,pdf
INF-1465,SPRINGS,2019,07/26/19,10/01/19,MONO,NA,NA,NA,NA,NA,"4,840",USFS,"B, T",LIGHTNING,pdf
MDF-509,TUCKER,2019,07/28/19,08/04/19,MODOC,NA,NA,NA,NA,NA,"14,150",USFS,"B, G, T",UNDETERMINED,pdf
LPF-1678,MILL,2019,07/30/19,08/08/19,MONTEREY,NA,NA,NA,NA,NA,310,USFS,"B, G, T",UNDETERMINED,pdf
SND-19114701,CALIENTE,2019,08/01/19,08/03/19,SAN DIEGO,NA,NA,NA,NA,NA,448,LOCAL,G,UNDETERMINED,pdf
NOD-4382,W-1 MCDONALD,2019,08/08/19,08/11/19,LASSEN,NA,NA,NA,NA,NA,"1,020",BLM,"B, G",LIGHTNING,pdf
SQF-1708,BRODER,2019,08/08/19,09/20/19,TULARE,NA,NA,NA,NA,NA,381,USFS,"B, T",LIGHTNING,pdf
