incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
BDU-5618,MOFFAT,2018,43209,43214,INYO,NA,NA,NA,NA,NA,1065,CAL FIRE,"B, G",UNDETERMINED,csv
MMU-8764,NEES,2018,43222,43222,MERCED,NA,NA,NA,NA,NA,1756,CAL FIRE,G,EQUIPMENT USE,csv
RRU-62932,PATTERSON,2018,43237,43238,RIVERSIDE,NA,NA,NA,NA,NA,1261,CAL FIRE,"B, G",EQUIPMENT USE,csv
MMU-10096,CANAL,2018,43239,43240,MADERA,NA,NA,NA,NA,NA,300,CAL FIRE,G,ELECTRICAL POWER,csv
LAC-166129,STONE,2018,43255,43259,LOS ANGELES,NA,NA,NA,NA,NA,1352,CC,"B, G",HUMAN,csv
MMU-11264,O'NEALS,2018,43255,43258,MADERA,NA,NA,NA,NA,NA,300,CAL FIRE,"B, G",EQUIPMENT USE,csv
BEU-2666,AIRLINE 2,2018,43255,43263,SAN BENITO,NA,NA,NA,NA,NA,1314,CAL FIRE,"B, G",UNDETERMINED,csv
BEU-2668,EASTERN 2,2018,43255,43263,SAN BENITO,NA,NA,NA,NA,NA,513,CAL FIRE,"B, G",ELECTRICAL POWER,csv
TGU-5555,APPLE,2018,43260,43263,TEHAMA,NA,9,3,NA,NA,2956,CAL FIRE,"B, G",EQUIPMENT USE,csv
TGU-5560,CHROME,2018,43260,43273,GLENN,NA,1,NA,NA,NA,2290,CAL FIRE,"B, G",MISCELLANEOUS,csv
MMU-12081,PLANADA,2018,43266,43270,MERCED,NA,NA,NA,NA,NA,4563,CAL FIRE,G,EQUIPMENT USE,csv
LNU-9002,PAWNEE,2018,43274,43289,LAKE,NA,22,6,NA,NA,15180,CAL FIRE,"B, G",UNDETERMINED,csv
TGU-6031,LANE,2018,43274,43285,TEHAMA,NA,NA,NA,NA,NA,3392,CAL FIRE,"B, G",UNDETERMINED,csv
TGU-6589,PANTHER,2018,43275,43277,SHASTA,NA,NA,NA,NA,NA,386,CAL FIRE,G,CAMPFIRE,csv
BTU-9333,SHIPPEE,2018,43277,43278,BUTTE,NA,NA,NA,NA,NA,460,CAL FIRE,G,ELECTRICAL POWER,csv
LMU-3203,HYATT,2018,43278,43280,LASSEN,NA,4,NA,NA,NA,383,CAL FIRE,"B, G",PLAYING WITH FIRE,csv
TCU-7477,WAVERLY,2018,43280,43293,SAN JOAQUIN,NA,1,NA,NA,NA,11789,CAL FIRE,"G, T",EQUIPMENT USE,csv
LNU-9502,COUNTY,2018,43281,43295,YOLO,NA,29,4,NA,NA,90000,CAL FIRE,"B, G, T",ELECTRICAL POWER,csv
AEU-18477,SHINGLE,2018,43285,43286,EL DORADO,NA,NA,NA,NA,NA,316,CAL FIRE,G,EXPLOSIVE DEVICE,csv
SKU-4641,KLAMATHON,2018,43286,43302,SISKIYOU,NA,83,12,NA,1,38008,CAL FIRE,"B, G, T",ARSON,csv
BDU-9683,VALLEY,2018,43287,43293,SAN BERNARDINO,NA,NA,NA,NA,NA,1350,CAL FIRE,"B, T",UNDETERMINED,csv
AEU-18720,IRISH,2018,43287,43290,AMADOR,NA,1,1,NA,NA,825,CAL FIRE,"G, T",EQUIPMENT USE,csv
SCU-4856,GRANT,2018,43289,43290,ALAMEDA,NA,1,NA,NA,NA,480,CAL FIRE,G,FIREWORKS,csv
TGU-6649,DALE,2018,46943,43290,TEHAMA,NA,NA,NA,NA,NA,856,CAL FIRE,G,VEHICLE,csv
LNU-10755,EIGHTY EIGHT,2018,43299,43302,YOLO,NA,NA,NA,NA,NA,822,CAL FIRE,"B, G",UNDETERMINED,csv
