incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
NA,Bluff,2008,39523,39527,San Bernardino,0,NA,NA,0,0,NA,NA,"Brush, Grass",Campfire,csv
NA,Colyear,2008,39574,39577,Tehama-Glenn,0,NA,NA,0,0,NA,NA,Brush,Debris,csv
NA,Avocado,2008,39588,39589,Fresno-Kings,0,NA,NA,0,0,NA,NA,Grass,Equipment Use,csv
NA,Gatos,2008,39590,39590,Fresno-Kings,0,NA,NA,0,0,NA,NA,Grass,Miscellaneous,csv
NA,Summit,2008,39590,39614,Santa Clara,91,NA,NA,0,0,NA,NA,Timber,Unidentified,csv
NA,Johnson VMP,2008,39596,39597,Riverside,0,NA,NA,0,0,NA,NA,Grass,"Debris, veg burn",csv
NA,85,2008,39604,39604,Sonoma-Lake-Napa,0,NA,NA,0,0,NA,NA,Grass,Equipment Use,csv
NA,Pine,2008,39609,39735,Sonoma-Lake-Napa,0,NA,NA,0,0,NA,NA,"Brush, Grass",Unidentified,csv
NA,LaGrange,2008,39609,39611,Tuolumne-Calaveras,2,NA,NA,0,0,NA,NA,Grass,Equipment Use,csv
NA,41,2008,39609,39610,Mardera-Mariposa,0,NA,NA,0,0,NA,NA,Grass,Equipment Use,csv
NA,Ophir,2008,39609,39610,Butte,41,NA,NA,0,0,NA,NA,Grass,Unidentified,csv
NA,Humboldt,2008,39610,39615,Butte,351,NA,NA,0,0,NA,NA,Grass,Arson,csv
NA,Martin Fire,2008,39610,39629,San Mateo-Santa Cruz,14,NA,NA,0,0,NA,NA,"Timber, Grass",Campfire,csv
NA,Trabing,2008,39619,39621,San Mateo-Santa Cruz,87,NA,NA,0,0,NA,NA,"Timber, Brush, Grass",Equipment Use,csv
NA,Albion River Lightning,2008,39619,39629,Mendocino,0,NA,NA,0,0,NA,NA,Timber,Lightning,csv
NA,Brown Complex,2008,39620,39624,San Benito-Monterey,0,NA,NA,0,0,NA,NA,Grass,Lightning,csv
NA,Mallo-B Lightning,2008,39620,39646,Mendocino,0,NA,NA,0,0,NA,NA,Timber,Lightning,csv
