incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
NA,BURNS,2002,09/19/02,09/20/02,Mendocino,NA,0,0,0,0,485,CDF,GTW,Equip. Use,pdf
NA,PINE,2002,11/26/02,11/28/02,Mendocino,NA,7,0,0,0,"1,200",CDF,GB,Debris Burning,pdf
NA,CROY,2002,09/23/02,09/28/02,Santa Clara,NA,34,4,0,0,"3,127",CDF,B,Equip. Use,pdf
NA,POPE,2002,08/09/02,08/10/02,Sonoma-Lake-Napa,NA,0,0,0,0,800,CDF,B,Equip. Use,pdf
NA,SIXTEEN,2002,10/01/02,10/02/02,Sonoma-Lake-Napa,NA,0,0,0,0,"1,500",CDF,GB,Equip. Use,pdf
NA,SKYWAY,2002,06/08/02,06/09/02,Butte,NA,0,0,0,0,"2,000",CDF,G,Undet.,pdf
NA,BLM D596,2002,07/13/02,07/13/02,Lassen-Modoc,NA,na,na,na,na,"4,500",OTHER,G,Ltng.,pdf
NA,HORSE COMPLEX,2002,07/13/02,07/15/02,Lassen-Modoc,NA,na,na,na,na,"1,580",BLM,na,na,pdf
NA,CONE,2002,09/26/02,09/26/02,Lassen-Modoc,NA,na,na,na,na,"2,006",USFS,na,na,pdf
NA,ROCKLIN ASSIST,2002,09/18/02,09/18/02,Nevada-Yuba-Placer,NA,21,na,na,na,594,LOCAL,na,na,pdf
NA,SQUIRREL,2002,09/03/02,09/03/02,Shasta-Trinity,NA,1,0,0,0,625,CDF,GT,Smoking,pdf
NA,MUSSOLINI,2002,07/13/02,07/16/02,Siskiyou,NA,0,0,0,0,"3,260",CDF,GT,Equip. Use,pdf
NA,KNF ASSIST #15,2002,07/25/02,07/26/02,Siskiyou,NA,na,na,na,na,"2,880",USFS,na,na,pdf
NA,CAJALCO FIRE,2002,03/17/02,03/17/02,Riverside,NA,0,0,0,0,575,CDF,B,Equip. Use,pdf
NA,EVENING,2002,04/21/02,04/23/02,Riverside,NA,0,0,0,0,657,OTHER,B,P-W-F,pdf
NA,"STATE 925 ""ANTONIC",2002,05/13/02,05/15/02,Riverside,NA,na,na,na,na,"1,472",OTHER,B,Undet,pdf
NA,AIRPORT,2002,03/22/02,03/24/02,San Bernardino,NA,0,0,0,0,846,CDF,GWB,Misc.,pdf
NA,BOUQUET,2002,05/11/02,05/13/02,San Bernardino,NA,na,na,na,na,"4,977",USFS,na,na,pdf
NA,ARROWHEAD,2002,05/31/02,06/05/02,San Bernardino,NA,na,na,na,na,"2,688",USFS,na,na,pdf
NA,COPPER,2002,06/05/02,06/12/02,San Bernardino,NA,na,na,na,na,"23,407",CC,na,na,pdf
NA,BLUECUT,2002,06/16/02,06/22/02,San Bernardino,NA,na,na,na,na,"6,864",USFS,na,na,pdf
NA,LOUISIANA,2002,06/26/02,06/30/02,San Bernardino,NA,na,na,na,na,"6,574",USFS,na,na,pdf
NA,INYO COMPLEX,2002,07/15/02,07/16/02,San Bernardino,NA,na,na,na,na,"6,550",USFS,na,na,pdf
NA,ASSIST,2002,09/01/02,09/05/02,San Bernardino,NA,na,na,na,na,"20,857",USES,na,na,pdf
NA,LEONA,2002,09/03/02,09/08/02,San Bernardino,NA,na,na,na,na,"5,124",cc,na,na,pdf
NA,WILLIAMS,2002,09/22/02,09/22/02,San Bernardino,NA,na,na,na,na,"38,094",USES,na,na,pdf
NA,GAVILAN,2002,02/10/02,02/15/02,San Diego,NA,43,13,0,0,"5,763",CDF,B,Debris Burning,pdf
NA,ALISO,2002,03/21/02,03/21/02,San Diego,NA,na,na,na,na,"2,400",MILITARY,na,na,pdf
NA,TROY,2002,06/19/02,06/22/02,San Diego,NA,3,1,na,na,"1,180",BIA,GWB,Equip. Use,pdf
NA,GARNET,2002,07/13/02,07/16/02,San Diego,NA,0,0,0,0,789,CDF,B,Undet.,pdf
NA,PINES,2002,07/29/02,08/16/02,San Diego,NA,160,4,0,0,"61,690",CDF,GTWB,Equip. Use,pdf
NA,ASSIST#73,2002,08/24/02,08/25/02,San Diego,NA,na,na,na,na,850,OTHER,B,Undet,pdf
NA,DAVIS,2002,06/09/02,06/09/02,San Luis Obispo,NA,0,0,0,0,"2,118",CDF,GA,Equip. Use,pdf
NA,SUDDEN INCIDENT,2002,06/15/02,06/19/02,San Luis Obispo,NA,1,na,na,na,"7,782",CC,na,na,pdf
NA,HWY 58,2002,07/18/02,07/19/02,San Luis Obispo,NA,0,0,0,0,"1,380",CDF,B,Arson,pdf
NA,PONY,2002,06/09/02,06/09/02,Amador-El Dorado,NA,0,0,0,0,720,CDF,GWB,Elec. Power,pdf
NA,HICKOCK,2002,08/31/02,08/31/02,Amador-El Dorado,NA,1,1,0,0,775,CDF,B,Misc.,pdf
NA,PLUM,2002,11/25/02,11/25/02,Amador-El Dorado,NA,na,na,na,na,"1,765",USFS,na,na,pdf
NA,NICHOLAS,2002,03/16/02,03/16/02,Madera-Mariposa-Merced,NA,0,0,0,0,"12,000",LOCAL,A,Debris Burning,pdf
NA,"SPI#3 ""SOURGRASS""",2002,11/25/02,11/30/02,Tuolumne-Calaveras,NA,0,0,0,0,635,CDF,TB,Debris Burning,pdf
NA,BOREL,2002,06/15/02,06/17/02,Tulare,NA,na,na,na,na,"3,430",USFS,na,na,pdf
NA,MCNALLY,2002,07/21/02,07/21/02,Tulare,NA,na,na,na,na,"150,696",USFS,na,na,pdf
