incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
RRU-34071,LINCOLN,2019,43539,43544,RIVERSIDE,NA,NA,NA,NA,NA,560,CAL FIRE,G,ARSON,csv
SLU-7006,BELMONT,2019,43614,43614,SAN LUIS OBISPO,NA,NA,NA,NA,NA,835,CAL FIRE,G,LIGHTNING,csv
SLU-7315,BOULDER,2019,43621,43621,SAN LUIS OBISPO,NA,NA,NA,NA,NA,1075,CAL FIRE,G,ELECTRICAL POWER,csv
SCU-3879,STUHR,2019,43623,43623,STANISLAUS,NA,NA,NA,NA,NA,581,CAL FIRE,G,EQUIPMENT USE,csv
LNU-9880,SAND,2019,43624,43997,COLUSA,NA,4,NA,NA,NA,2220,CAL FIRE,"B, G",LIGHTNING,csv
SLU-7684,MCMILLAN,2019,43628,43629,SAN LUIS OBISPO,NA,NA,NA,NA,NA,1763,CAL FIRE,G,EQUIPMENT USE,csv
RRU-79226,JERRY,2019,43637,43637,RIVERSIDE,NA,NA,NA,NA,NA,500,CAL FIRE,G,VEHICLE,csv
BEU-3696,LONOAK,2019,43641,43642,MONTEREY,NA,NA,NA,NA,NA,2546,CAL FIRE,G,ELECTRICAL POWER,csv
SCU-4384,ROCK,2019,43641,43643,STANISLAUS,NA,NA,NA,NA,NA,2420,CAL FIRE,"B, G",PLAYING WITH FIRE,csv
SLU-8993,GILLIS,2019,43654,43655,SAN LUIS OBISPO,NA,1,1,NA,NA,1010,CAL FIRE,G,EQUIPMENT USE,csv
BEU-4344,LAKE,2019,43675,43678,MONTEREY,NA,NA,NA,NA,NA,306,CAL FIRE,"B, G",VEHICLE,csv
SCU-5526,MARSH CREEK 3,2019,43680,43684,CONTRA COSTA,NA,NA,NA,NA,NA,340,CAL FIRE,"B, G",ARSON,csv
MMU-17062,HUNTER,2019,43692,43692,MARIPOSA,NA,NA,NA,NA,NA,433,CAL FIRE,G,UNDER INVESTIGATION,csv
MMU-17127,GAINES,2019,43693,43697,MARIPOSA,NA,NA,NA,NA,NA,1300,CAL FIRE,G,UNDER INVESTIGATION,csv
SHU-9030,MOUNTAIN,2019,43699,43708,SHASTA,NA,14,7,NA,NA,600,CAL FIRE,"B, G",ARSON,csv
TUU-684,CREEK,2019,43708,43712,TULARE,NA,NA,NA,NA,NA,756,CAL FIRE,"B, G",EQUIPMENT USE,csv
RRU-113828,TENAJA,2019,43712,43722,RIVERSIDE,NA,NA,3,NA,NA,1926,CAL FIRE,"B, G",UNDER INVESTIGATION,csv
TGU-9386,RED BANK,2019,43713,43725,TEHAMA,NA,2,NA,NA,NA,8836,CAL FIRE,"B, G, T",LIGHTNING,csv
BTU-10635,SWEDES,2019,43715,43717,BUTTE,NA,2,1,NA,NA,496,CAL FIRE,"B, G",ARSON,csv
RRU-118651,HORSESHOE,2019,43722,43725,RIVERSIDE,NA,NA,NA,NA,NA,503,CAL FIRE,"B, G",UNDETERMINED,csv
NEU-23002,BASELINE,2019,43728,43729,PLACER,NA,NA,NA,NA,NA,640,CAL FIRE,G,VEHICLE,csv
LNU-18056,AMERICAN,2019,43744,43745,NAPA,NA,1,NA,NA,NA,526,CAL FIRE,"B, G",UNDETERMINED,csv
MMU-21257,BRICEBURG,2019,43744,43758,MARIPOSA,NA,1,NA,NA,NA,5563,CAL FIRE,"B, G",VEHICLE,csv
RRU-130198,RECHE,2019,43748,43750,RIVERSIDE,NA,1,1,NA,NA,350,CAL FIRE,"B, G",UNDETERMINED,csv
SBC-25032,REAL,2019,43755,43759,SANTA BARBARA,NA,NA,NA,NA,NA,420,CC,"B, G",HUMAN,csv
LNU-19376,KINCADE,2019,43761,43779,SONOMA,NA,374,60,NA,NA,77758,CAL FIRE,"B, G, T",ELECTRICAL POWER,csv
TGU-11434,RAWSON,2019,43764,43765,TEHAMA,NA,1,3,NA,NA,605,CAL FIRE,G,VEHICLE,csv
MEU-13345,BURRIS,2019,43765,43771,MENDOCINO,NA,NA,NA,NA,NA,703,CAL FIRE,"B, G",UNDER INVESTIGATION,csv
VNC-41710,EASY,2019,43768,43777,VENTURA,NA,1,1,NA,NA,2375,CC,"B, T",ELECTRICAL POWER,csv
RRU-139654,HILL,2019,43769,43772,RIVERSIDE,NA,NA,NA,NA,NA,628,CAL FIRE,"B, G",UNDER INVESTIGATION,csv
RRU-139997,46TH,2019,43769,43769,RIVERSIDE,NA,7,7,NA,NA,328,CAL FIRE,"B, G",VEHICLE,csv
VNC-42100,MARIA,2019,43769,43775,VENTURA,NA,4,NA,NA,NA,9999,CC,"B, G",ELECTRICAL POWER,csv
TGU-11766,RANCH,2019,43772,43775,TEHAMA,NA,NA,1,NA,NA,2534,CAL FIRE,"B, T",CAMPFIRE,csv
NEU-28628,FOOTHILLS,2019,43794,43794,PLACER,NA,NA,NA,NA,NA,308,CAL FIRE,"B, G",VEHICLE,csv
