incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
NA,Bluff,2008,3/16/08,3/20/08,San Bernardino,0,NA,NA,0,0,NA,NA,"Brush, Grass",Campfire,pdf
NA,Colyear,2008,5/6/08,5/9/08,Tehama-Glenn,0,NA,NA,0,0,NA,NA,Brush,Debris,pdf
NA,Avocado,2008,5/20/08,5/21/08,Fresno-Kings,0,NA,NA,0,0,NA,NA,Grass,Equipment Use,pdf
NA,Gatos,2008,5/22/08,5/22/08,Fresno-Kings,0,NA,NA,0,0,NA,NA,Grass,Miscellaneous,pdf
NA,Summit,2008,5/22/08,6/15/08,Santa Clara,91,NA,NA,0,0,NA,NA,Timber,Unidentified,pdf
NA,Johnson VMP,2008,5/28/08,5/29/08,Riverside,0,NA,NA,0,0,NA,NA,Grass,"Debris, veg burn",pdf
NA,85,2008,6/5/08,6/5/08,Sonoma-Lake-Napa,0,NA,NA,0,0,NA,NA,Grass,Equipment Use,pdf
NA,Pine,2008,6/10/08,10/14/08,Sonoma-Lake-Napa,0,NA,NA,0,0,NA,NA,"Brush, Grass",Unidentified,pdf
NA,LaGrange,2008,6/10/08,6/12/08,T uolumne-Calaveras,2,NA,NA,0,0,NA,NA,Grass,Equipment Use,pdf
NA,41,2008,6/10/08,6/11/08,Mardera-Mariposa,0,NA,NA,0,0,NA,NA,Grass,Equipment Use,pdf
NA,Ophir,2008,6/10/08,6/11/08,Butte,41,NA,NA,0,0,NA,NA,Grass,Unidentified,pdf
NA,Humboldt,2008,6/11/08,6/16/08,Butte,351,NA,NA,0,0,NA,NA,Grass,Arson,pdf
NA,Martin Fire,2008,6/11/08,6/30/08,San Mateo-Santa Cruz,14,NA,NA,0,0,NA,NA,"Timber, Grass",Campfire,pdf
NA,Trabing,2008,6/20/08,6/22/08,San Mateo-Santa Cruz,87,NA,NA,0,0,NA,NA,"Timber, Brush, Grass",Equipment Use,pdf
NA,Albion River Lightning,2008,6/20/08,6/30/08,Mendocino,0,NA,NA,0,0,NA,NA,Timber,Lightning,pdf
NA,Brown Complex,2008,6/21/08,6/25/08,San Benito-Monterey,0,NA,NA,0,0,NA,NA,Grass,Lightning,pdf
