incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
BDU-002312,WINTERTON,2011,40611,NA,INYO,NA,0,0,0,0,395,CALFIRE,BG,DEBRIS,csv
BDU-002915,CENTER,2011,40620,NA,INYO,NA,19,0,0,0,850,CALFIRE,G,UNDETERMINED,csv
BEU-001593,METZ,2011,40675,NA,MONTEREY,NA,0,0,0,0,832,CALFIRE,G,OTHER,csv
BEU-001778,CATTLEMAN,2011,40692,NA,MONTEREY,NA,0,0,0,0,382,CALFIRE,G,OTHER,csv
KRN-1117159,IKEA,2011,40706,NA,KERN,NA,0,0,0,0,640,CALFIRE/CC,G,OTHER,csv
KRN-017988,ANTELOPE,2011,40713,NA,KERN,NA,2,0,0,0,5200,CALFIRE/CC,BG,UNDETERMINED,csv
KRN-1118260,QUINN,2011,40715,NA,KERN,NA,0,0,0,0,3154,CALFIRE/CC,G,UNDETERMINED,csv
TCU-005166,EASTMAN,2011,40718,NA,STANISLAUS,NA,0,0,0,0,330,CALFIRE,G,OTHER,csv
SLU-004752,HIGHWAY,2011,40718,NA,SAN LUIS OBISPO,NA,0,0,0,0,387,CALFIRE,G,EQUIPMENT,csv
MMU-009446,REST,2011,40720,NA,MERCED,NA,0,0,0,0,575,CALFIRE,G,OTHER,csv
TUU-000134,STAGE,2011,40721,NA,TULARE,NA,0,0,0,0,1213,CALFIRE,T,EQUIPMENT,csv
HUU-003190,SPANISH,2011,40725,NA,HUMBOLDT,NA,0,0,0,0,498,CALFIRE,TG,EQUIPMENT,csv
SCU-002637,CHRISMAN,2011,40729,NA,SAN JOAQUIN,NA,0,0,0,0,400,CALFIRE,G,EQUIPMENT,csv
ORC-045067,CARBON CANYON,2011,40731,NA,ORANGE,NA,0,0,0,0,508,CALFIRE/CC,B,UNDETERMINED,csv
TUU-000188,GRANITE,2011,40733,NA,TULARE,NA,7,0,0,0,780,CALFIRE,G,UNDETERMINED,csv
NEU-015232,KRISTA,2011,40733,NA,YUBA,NA,0,0,0,0,360,CALFIRE,BG,EQUIPMENT,csv
SCU-002779,FLYNN,2011,40738,NA,ALAMEDA,NA,0,0,0,0,500,CALFIRE,G,EQUIPMENT,csv
SCU-002885,FLYNN,2011,40745,NA,ALAMEDA,NA,0,0,0,0,545,CALFIRE,G,ARSON,csv
MVU-008019,EAGLE,2011,40745,NA,SAN DIEGO,NA,0,0,0,0,14100,CALFIRE,TB,ARSON,csv
MMU-011070,ROMERO,2011,40747,NA,MERCED,NA,0,0,0,0,489,CALFIRE,G,UNDETERMINED,csv
MEU-005340,PASS,2011,40758,NA,MENDOCINO,NA,0,0,0,0,616,CALFIRE,TG,EQUIPMENT,csv
RRU-071943,GILMAN,2011,40761,NA,RIVERSIDE,NA,0,0,0,0,945,CALFIRE,G,UNDETERMINED,csv
LNU-006369,KNOXVILLE,2011,40768,NA,NAPA,NA,0,0,0,0,506,CALFIRE,B,UNDETERMINED,csv
LNU-006823,BEACON,2011,40782,NA,SOLANO,NA,0,0,0,0,715,CALFIRE,BG,UNDETERMINED,csv
LAC-194624,OASIS,2011,40782,NA,LOS ANGELES,NA,0,0,0,0,375,CALFIRE/CC,B,LIGHTNING,csv
RRU-079634,KELLER,2011,40784,NA,RIVERSIDE,NA,0,0,0,0,450,CALFIRE,BG,EQUIPMENT,csv
BDU-009968,HILL,2011,40788,NA,SAN BERNARDINO,NA,3,2,0,0,1153,CALFIRE/USFS,T,UNDETERMINED,csv
SLU-007086,SODA,2011,40789,NA,SAN LUIS OBISPO,NA,1,0,0,0,1528,CALFIRE,BG,EQUIPMENT,csv
TUU-000345,ROADRUNNER,2011,40790,NA,TULARE,NA,0,0,0,0,335,CALFIRE,T,UNDETERMINED,csv
KRN-027244,CANYON,2011,40790,NA,KERN,NA,100,0,0,0,14585,CALFIRE/CC,T,EQUIPMENT,csv
TCU-007982,MILTON,2011,40795,NA,SAN JOAQUIN,NA,0,0,0,0,1122,CALFIRE,G,LIGHTNING,csv
KRN-0027912,KEENE COMPLEX,2011,40796,NA,KERN,NA,0,0,0,0,10470,CALFIRE/CC,B,LIGHTNING,csv
KRN-0027933,COMANCHE COMPLEX,2011,40796,NA,KERN,NA,0,0,0,0,29338,CALFIRE/CC,BG,LIGHTNING,csv
KRN-0027969,BRECKENRIDGE COMPLEX,2011,40796,NA,KERN,NA,0,0,0,0,25213,CALFIRE/CC,BG,LIGHTNING,csv
TUU-0000368,TENNESSEE,2011,40797,NA,TULARE,NA,0,0,0,0,380,CALFIRE,G,LIGHTNING,csv
BDU-0010475,JOHN,2011,40799,NA,INYO,NA,0,0,0,0,5300,CALFIRE,BG,EQUIPMENT,csv
TUU-0000393,TUU SEPT LIGHTNING,2011,40809,NA,TULARE,NA,0,0,0,0,350,CALFIRE,G,LIGHTNING,csv
KRN-129618,OLD FIRE,2011,40809,NA,KERN,NA,0,0,0,0,410,CALFIRE/CC,G,LIGHTNING,csv
KRN-1129619,65 FIRE,2011,40809,NA,KERN,NA,0,0,0,0,2005,CALFIRE/CC,G,LIGHTNING,csv
MVU-0011019,GREAT,2011,40817,NA,SAN DIEGO,NA,0,0,0,0,2135,CALFIRE,GB,UNDETERMINED,csv
TCU-0010455,BLUE,2011,40878,NA,CALAVERAS,NA,0,0,0,0,698,CALFIRE,T,OTHER CAUSE,csv
SQF-001234,COVE,2011,40690,40696,KERN,NA,0,0,0,0,1122,USFS,G,MISCELLANEOUS,csv
MDF-000181,COUGAR,2011,40702,40707,MODOC,NA,0,0,0,0,1800,USFS,T,CAMPFIRE,csv
SQF-002087,LION,2011,40732,40855,TULARE,NA,0,0,0,0,20500,USFS/NPS,T,LIGHTNING,csv
MDF-00049,MAMMOTH,2011,40739,40791,MODOC,NA,0,0,0,0,1194,USFS,G,RAILROAD,csv
MDF-000324,SCORPION COMPLEX,2011,40739,40791,MODOC,NA,0,0,0,0,1418,USFS,G,RAILROAD,csv
YNP-0002558,AVALANCHE,2011,40755,40817,MARIPOSA,NA,0,0,0,0,1069,NPS,TB,LIGHTNING,csv
NOD-003546,ANNIE,2011,40773,40802,MODOC,NA,0,0,0,0,2076,USFS,T,MISCELLANEOUS,csv
KNF-0006061,ONION,2011,40774,40827,SISKIYOU,NA,0,0,0,0,560,USFS,T,LIGHTNING,csv
BDF-012349,KEN,2011,40777,40785,SAN BERNARDINO,NA,1,0,0,0,350,USFS,B,EQUIPMENT USE,csv
SNF-002117,MOTOR,2011,40780,40817,MARIPOSA,NA,0,0,0,0,5230,USFS,B,EQUIPMENT USE,csv
CDD-012657,WELLS,2011,40783,40785,SAN BERNARDINO,NA,0,0,0,0,1784,NPS,BG,LIGHTNING,csv
LPF-002238,FIGUEROA,2011,40789,40798,SANTA BARBARA,NA,0,0,0,0,698,USFS,BG,EQUIPMENT USE,csv
SQF-003282,WILLOWS,2011,40790,40798,TULARE,NA,0,0,0,0,310,USFS,B,ARSON,csv
LAC-11215258,WAGON WHEEL,2011,40791,40794,LOS ANGELES,NA,8,0,0,0,500,USFS,G,MISCELLANEOUS,csv
ENF-021563,LONG,2011,40798,40858,EL DORADO,NA,0,0,0,0,483,USFS,T,LIGHTNING,csv
YNP-0003619,TAMARACK,2011,40799,40833,MARIPOSA,NA,0,0,0,0,1015,NPS,B,LIGHTNING,csv
STF-3013,BURST COMPLEX,2011,40801,40801,TUOLUMNE,NA,0,0,0,0,508,USFS,T,LIGHTNING,csv
ANF-0004969,MINT,2011,40803,40816,LOS ANGELES,NA,0,0,0,0,634,USFS,B,CAMPFIRE,csv
SRF-0001848,RUTH,2011,40809,40862,TRINITY,NA,31,0,0,0,1460,USFS,T,DEBRIS BURNING,csv
BDF-013860,WINDY POINT,2011,40811,40819,RIVERSIDE,NA,0,0,0,0,541,USFS,G,MISCELLANEOUS,csv
ENF-0038070,SALT,2011,40878,40912,ELDORADO,NA,0,0,0,0,342,USFS,G,EQUIPMENT USE,csv
