incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
HUU-81,RED,2014,01/04/14,01/12/14,HUMBOLDT,NA,NA,NA,NA,NA,333,CAL FIRE,T.B,DEBRIS BURNING,pdf
RRU-27677,PIERCE,2014,03/15/14,03/16/14,RIVERSIDE,NA,NA,NA,NA,NA,350,LOCAL,B.G,ARSON,pdf
MVU-10055,BERNARDO,2014,05/13/14,05/21/14,SAN DIEGO,NA,NA,NA,NA,NA,1.548,LOCAL,B.G,EQUIPMENT USE,pdf
MVU-10242,SAN DIEGO COMPLEX,2014,05/14/14,05/22/14,SAN DIEGO,NA,48,5,NA,NA,2.438,CAL FIRE,B,UNDETERMINED,pdf
MMU-8974,HUNTER,2014,05/26/14,06/04/14,MARIPOSA,NA,3,NA,NA,NA,677,CAL FIRE,B,UNDETERMINED,pdf
TCU-4987,59,2014,06/04/14,06/09/14,TUOLUMNE,NA,NA,NA,NA,NA,402,CAL FIRE,G,VEHICLE,pdf
MMU-10597,GUN CLUB,2014,06/19/14,06/19/14,MERCED,NA,NA,NA,NA,NA,400,CAL FIRE,G,DEBRIS BURNING,pdf
LNU-5333,BUTTS,2014,07/01/14,07/10/14,NAPA,NA,9,NA,NA,NA,4.300,CAL FIRE,G,EQUIPMENT USE,pdf
LNU-5465,MONTICELLO,2014,07/04/14,07/13/14,YOLO,NA,NA,NA,NA,NA,6.488,CAL FIRE,G,HUMAN,pdf
SHU-6248,BULLY,2014,07/11/14,07/23/14,SHASTA,NA,18,1,NA,1,12.661,CAL FIRE,G,VEHICLE,pdf
MMU-12965,GUN CLUB,2014,07/24/14,08/02/14,MERCED,NA,NA,NA,NA,NA,422,CAL FIRE,G,HUMAN,pdf
AEU-18237,SAND,2014,07/25/14,08/03/14,EL DORADO,NA,47,NA,NA,NA,4.240,CAL FIRE,T,VEHICLE,pdf
MMU-13131,KELLEY,2014,07/26/14,07/26/14,MERCED,NA,NA,NA,NA,NA,1.000,CAL FIRE,G.W,UNDETERMINED,pdf
BTU-10700,WEB,2014,07/29/14,08/27/14,BUTTE,NA,NA,NA,NA,NA,378,CAL FIRE,T.B,EQUIPMENT USE,pdf
LMU-3472,DAY,2014,07/30/14,08/13/14,MODOC,NA,10,NA,NA,NA,13.153,CAL FIRE,T.B,LIGHTNING,pdf
MEU-7202,LODGE COMPLEX,2014,07/30/14,09/21/14,MENDOCINO,NA,NA,NA,NA,NA,12.535,CAL FIRE,T,LIGHTNING,pdf
LNU-6737,THIRTY ONE 2,2014,08/09/14,08/09/14,YOLO,NA,NA,NA,NA,NA,370,CAL FIRE,G,VEHICLE,pdf
MMU-14633,JUNCTION,2014,08/18/14,08/25/14,MADERA,NA,47,6,NA,NA,612,CAL FIRE,B,UNDETERMINED,pdf
SHU-7763,OREGON,2014,08/24/14,08/30/14,TRINITY,NA,1,NA,NA,NA,461,CAL FIRE,B.G,VEHICLE,pdf
SHU-8322,GULCH,2014,09/10/14,09/15/14,SHASTA,NA,4,NA,NA,NA,1.300,CAL FIRE,B,VEHICLE,pdf
MEU-8882,BLACK,2014,09/13/14,09/17/14,MENDOCINO,NA,11,NA,NA,NA,403,CAL FIRE,B,EQUIPMENT USE,pdf
MMU-16429,COURTNEY,2014,09/14/14,09/22/14,MADERA,NA,49,7,NA,NA,320,CAL FIRE,B,UNDETERMINED,pdf
BTU-13428,NELSON,2014,09/18/14,09/21/14,BUTTE,NA,NA,NA,NA,NA,500,CAL FIRE,G,ELECTRICAL POWER,pdf
NEU-23454,APPLEGATE,2014,10/08/14,10/22/14,PLACER,NA,10,NA,NA,NA,459,CAL FIRE,T.B,UNDETERMINED,pdf
LNF-27,CAMPBELL,2014,01/02/14,01/10/14,TEHAMA,NA,NA,NA,NA,NA,865,USFS,"T,B",HUMAN,pdf
SQF-120,SODA,2014,01/14/14,04/19/14,TULARE,NA,NA,NA,NA,NA,"1,612",USFS,T,UNDETERMINED,pdf
ANF-231,COLBY,2014,01/16/14,01/24/14,LOS ANGELES,NA,15,8,NA,NA,"1,952",USFS,B.G,UNDETERMINED,pdf
BDF-6646,ETIWANDA,2014,04/30/14,05/01/14,SAN BERNARDINO,NA,NA,NA,NA,NA,"2,200",USFS,"B,G",HUMAN,pdf
SBC-5573,MIGUELITO,2014,05/13/14,05/16/14,SANTA BARBARA,NA,NA,NA,NA,NA,632,LOCAL,B,UNDETERMINED,pdf
CBD-3777,POINSETTIA,2014,05/14/14,05/17/14,SAN DIEGO,NA,28,NA,NA,NA,600,LOCAL,B,UNDETERMINED,pdf
