incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
NA,DIABLO /T7 T8/COM4 T1,2007,1/14/07,1/16/07,San Luis Obispo,1,NA,NA,0,0,332,NA,Timber,MISCELLANEOUS,pdf
NA,LITTLE 5,2007,3/22/07,3/23/07,Fresno-Kings,NA,NA,NA,0,0,300,NA,NA,MISCELLANEOUS,pdf
NA,RIVER DAY ASSNMT RVCTAC1,2007,4/28/07,4/29/07,Riverside,0,NA,NA,0,0,488,NA,Brush,UNIDENTIFIED,pdf
NA,DAWSON-RRU2TAC22,2007,5/8/07,5/9/07,Riverside,NA,NA,NA,0,0,990,NA,"Grass, Brush",EQUIPMENT USE,pdf
NA,BROKEOFF,2007,5/21/07,5/21/07,Shasta-Trinity,0,NA,NA,0,0,100,NA,Timber,UNIDENTIFIED,pdf
NA,HONEY IC TAC 9,2007,5/22/07,5/28/07,Butte,0,NA,NA,0,0,726,NA,Timber,MISCELLANEOUS,pdf
NA,F#88 SHANNON INC,2007,6/3/07,6/4/07,Tulare,NA,NA,NA,0,0,"2,140",NA,"Grass, Brush",EQUIPMENT USE,pdf
NA,INKOPAH,2007,6/5/07,6/6/07,San Diego,NA,NA,NA,0,0,"1,500",NA,Brush,UNIDENTIFIED,pdf
NA,PINE,2007,6/23/07,6/23/07,Lassen-Modoc,3,NA,NA,0,0,314,NA,"Brush, Grass",DEBRIS BURNING,pdf
NA,MERIDIAN AV LUCERNE_VALL,2007,7/5/07,7/6/07,San Bernardino,0,NA,NA,0,0,467,NA,Brush,LIGHTNING,pdf
NA,POWER,2007,7/10/07,7/12/07,Shasta-Trinity,0,NA,NA,0,0,776,NA,Brush,UNIDENTIFIED,pdf
NA,TAR,2007,8/10/07,8/19/07,Fresno-Kings,0,NA,NA,0,0,"5,644",NA,Woodland,ARSON,pdf
NA,GOLDEN,2007,8/16/07,8/17/07,T uolumne-Calaveras,0,NA,NA,0,0,66,NA,Timber,VEHICLE,pdf
NA,80,2007,8/22/07,8/24/07,Nevada-Yuba-Placer,0,NA,NA,0,0,88,NA,Timber,MISCELLANEOUS,pdf
NA,AVENUE 26/ROAD 19 5,2007,8/23/07,8/23/07,Madera-Mariposa,0,NA,NA,0,0,50,NA,Timber,UNIDENTIFIED,pdf
NA,LICK,2007,9/3/07,9/15/07,Santa Clara,24,NA,NA,0,0,"47,760",NA,Brush,DEBRIS BURNING,pdf
NA,COLINA SUP6,2007,9/10/07,9/11/07,Riverside,0,NA,NA,0,0,388,NA,Brush,EQUIPMENT USE,pdf
NA,ANGEL 3,2007,9/15/07,9/21/07,San Diego,24,NA,NA,0,0,837,NA,Brush,CAMPFIRE,pdf
NA,WHITMORE 3,2007,10/9/07,10/9/07,Shasta-Trinity,0,NA,NA,0,0,44,NA,Timber,EQUIPMENT USE,pdf
NA,HARRIS 2,2007,10/21/07,11/9/07,San Diego,729,NA,NA,0,1,"90,440",NA,Brush,HUMAN,pdf
NA,WITCH,2007,10/21/07,10/31/07,San Diego,1735,NA,NA,0,0,"197,990",NA,"Brush,Grass,Timber",EQUIPMENT USE,pdf
NA,RICE,2007,10/22/07,11/5/07,San Diego,493,NA,NA,0,0,"9,472",NA,Grass,MISCELLANEOUS,pdf
NA,POOMACHA,2007,10/23/07,11/11/07,San Diego,229,NA,NA,0,0,"49,410",NA,Brush,STRUCTURE,pdf
NA,GRADE,2007,12/3/07,12/6/07,San Luis Obispo,0,NA,NA,0,0,97,NA,Timber,MISCELLANEOUS,pdf
