incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
NA,Fort,2009,39849,39851,San Bernardino,0,NA,NA,0,0,NA,NA,Brush,Debris,csv
NA,Mustang,2009,39946,39949,Stanislaus,0,NA,NA,0,0,NA,NA,Grass,Debris,csv
NA,Oliver,2009,39960,39960,Riverside,0,NA,NA,0,0,NA,NA,Grass,Other,csv
NA,TUU Lightning Complex,2009,39961,39964,Tulare,0,NA,NA,0,0,NA,NA,Grass,Lightning,csv
NA,Explosive,2009,39983,39983,San Joaquin,0,NA,NA,0,0,NA,NA,Grass,Equipment Use,csv
NA,Rock,2009,39992,39992,Calaveras,0,NA,NA,0,0,NA,NA,Grass,Powerline,csv
NA,Rumsey,2009,39993,39996,Yolo,0,NA,NA,0,0,NA,NA,Brush,Equipment Use,csv
NA,Mammoth,2009,40010,40012,Placer,0,NA,NA,0,0,NA,NA,Grass,Undetermined,csv
NA,Ash,2009,40021,40023,Madera,0,NA,NA,0,0,NA,NA,Grass,Equipment Use,csv
NA,Chalk (SHU Complex),2009,40028,40041,Shasta,0,NA,NA,0,0,NA,NA,Timber,Lightning,csv
NA,One-Eleven (SHU Complex),2009,40028,40042,Shasta,0,NA,NA,0,0,NA,NA,Timber,Lightning,csv
NA,Goose (SHU Complex),2009,40028,40042,Shasta,0,NA,NA,0,0,NA,NA,Timber,Lightning,csv
NA,Gomez (SHU Complex),2009,40028,40042,Shasta,0,NA,NA,0,0,NA,NA,Timber,Lightning,csv
NA,Cassel (SHU Complex),2009,40028,40039,Shasta,0,NA,NA,0,0,NA,NA,Timber,Lightning,csv
NA,Lockheed,2009,40037,40048,Santa Cruz,13,NA,NA,0,0,NA,NA,"Brush, Timber",Undetermined,csv
NA,Coffin,2009,40037,40040,Trinity,0,NA,NA,0,0,NA,NA,Timber,Incendiary,csv
NA,Corral,2009,40038,40041,San Joaquin,2,NA,NA,0,0,NA,NA,Grass,Other,csv
NA,Yuba,2009,40039,40049,Yuba,0,NA,NA,0,0,NA,NA,"Timber, Brush, Grass",Undetermined,csv
NA,Bryson,2009,40051,40054,Monterey,1,NA,NA,0,0,NA,NA,Brush,Structure,csv
NA,Gloria,2009,40052,40057,Monterey,1,NA,NA,0,0,NA,NA,Grass,Other,csv
NA,Day,2009,40052,40055,Lassen,0,NA,NA,0,0,NA,NA,Timber,Undetermined,csv
NA,Pacheco,2009,40054,40055,Santa Clara,0,NA,NA,0,0,NA,NA,Grass,Equipment Use,csv
