incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
LNU-477,BECKS,2013,41296,NA,LAKE,NA,NA,NA,NA,NA,335,CAL FIRE,B,DEBRIS BURNING,csv
BDU-2372,RIVER,2013,41329,NA,INYO,NA,NA,NA,NA,NA,407,CAL FIRE,BG,VEHICLE,csv
RRU-22083,JURUPA,2013,41333,NA,RIVERSIDE,NA,NA,2,NA,NA,300,CAL FIRE,T,UNDETERMINED,csv
BTU-5648,PANTHER,2013,41395,NA,TEHAMA,NA,NA,NA,NA,NA,6896,CALFIRE,TB,HUMAN,csv
RRU-44298,SUMMIT,2013,41395,NA,RIVERSIDE,NA,2,NA,NA,NA,2956,CAL FIRE,BG,UNDETERMINED,csv
VNC-12193,SPRINGS,2013,41396,NA,VENTURA,NA,10,12,NA,NA,24251,CC,BG,UI,csv
BEU-2109,TRES PINOS,2013,41397,NA,SAN BENITO,NA,NA,NA,NA,NA,354,CAL FIRE,G,EQUIPMENT,csv
MEU-3381,FOSTER,2013,41397,NA,MENDOCINO,NA,NA,NA,NA,NA,300,CAL FIRE,T,DEBRIS BURNING,csv
RRU-45459,GORGONIO,2013,41398,NA,RIVERSIDE,NA,NA,NA,NA,NA,650,CAL FIRE,BG,UNDETERMINED,csv
LAC-118144,LAKE,2013,41411,NA,LOS ANGELES,NA,NA,NA,NA,NA,712,CC,BG,HUMAN,csv
MVU-10345,FELIPE,2013,41417,NA,SAN DIEGO,NA,NA,NA,NA,NA,2650,CAL FIRE,BG,HUMAN,csv
MMU-8520,RIVER,2013,41420,NA,MERCED,NA,NA,NA,NA,NA,450,CAL FIRE,BG,HUMAN,csv
MVU-11025,GENERAL,2013,41420,NA,SAN DIEGO,NA,NA,NA,NA,NA,2500,CAL FIRE,B,HUMAN,csv
TCU-4607,SHELTON,2013,41424,NA,SAN JOAQUIN,NA,NA,NA,NA,NA,303,CAL FIRE,G,EQUIPMENT,csv
MMU-9861,ROLLING,2013,41441,NA,MADERA,NA,1,NA,NA,NA,480,CAL FIRE,G,VEHICLE,csv
