incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
BDU-1662,ROUND,2015,42041,NA,INYO,NA,43,5,NA,NA,7000,CAL FIRE,B,UNDETERMINED,csv
RRU-44605,HIGHWAY,2015,42112,NA,RIVERSIDE,NA,NA,NA,NA,NA,1049,CAL FIRE,"T,G",EQUIPMENT,csv
MMU-8812,FOREBAY,2015,42135,NA,MERCED,NA,NA,NA,NA,NA,692,CAL FIRE,G,VEHICLE,csv
MMU-11662,CORRINE,2015,42173,NA,MADERA,NA,2,NA,NA,NA,920,CAL FIRE,"T,B,G",ELECTRICAL POWER,csv
SLU-6113,PARKHILL,2015,42175,NA,SAN LUIS OBISPO,NA,18,3,NA,NA,1791,CAL FIRE,B,VEHICLE,csv
AEU-17193,IONE,2015,42187,NA,SACRAMENTO,NA,NA,NA,NA,NA,357,CAL FIRE,G,ARSON,csv
SKU-5078,YORK,2015,42189,NA,SISKIYOU,NA,NA,NA,NA,NA,395,CAL FIRE,G,LIGHTNING,csv
MMU-13970,MCCABE,2015,42203,NA,MERCED,NA,NA,NA,NA,NA,1600,CAL FIRE,G,LIGHTNING,csv
TUU-383,TRIPLE 3,2015,42206,NA,TULARE,NA,NA,NA,NA,NA,430,CAL FIRE,G,LIGHTNING,csv
LNU-6678,WRAGG,2015,42207,NA,NAPA,NA,2,5,NA,NA,8051,CAL FIRE,B,VEHICLE,csv
NEU-17851,LOWELL,2015,42210,NA,NEVADA,NA,3,1,NA,NA,2304,CAL FIRE,"T,G",UNDETERMINED,csv
BTU-10917,SWEDES,2015,42214,NA,BUTTE,NA,16,NA,NA,NA,400,CAL FIRE,B,DEBRIS BURNING,csv
LNU-6984,ROCKY,2015,42214,NA,LAKE,NA,96,8,NA,NA,69636,CAL FIRE,"T,B,G",EQUIPMENT,csv
HUU-5606,HUMBOLDT COMPLEX,2015,42215,NA,HUMBOLDT,NA,7,NA,NA,NA,4883,CAL FIRE,T,LIGHTNING,csv
MMU-14907,CREEK,2015,42216,NA,MERCED,NA,NA,NA,NA,NA,1450,CAL FIRE,G,VEHICLE,csv
LNU-7410,JERUSALEM,2015,42225,NA,LAKE,NA,27,NA,NA,NA,25118,CAL FIRE,B,UNDETERMINED,csv
RRU-90069,ANZA,2015,42226,NA,RIVERSIDE,NA,NA,NA,NA,NA,500,CAL FIRE,B,HUMAN,csv
SLU-8555,CUESTA,2015,42232,NA,SAN LUIS OBISPO,NA,1,NA,NA,NA,2446,CAL FIRE,G,VEHICLE,csv
SCU-5524,TESLA,2015,42235,NA,ALAMEDA,NA,1,NA,NA,NA,2850,CAL FIRE,G,UNDETERMINED,csv
LNU-8268,ELK,2015,42249,NA,LAKE,NA,NA,NA,NA,NA,700,CAL FIRE,B,EQUIPMENT,csv
AEU-24918,BUTTE,2015,42256,NA,AMADOR,NA,965,NA,NA,2,70868,CAL FIRE,"T,B,G",ELECTRICAL POWER,csv
BTU-13363,LUMPKIN,2015,42258,NA,BUTTE,NA,NA,NA,NA,NA,1040,CAL FIRE,"T,B",ARSON,csv
LNU-8670,VALLEY,2015,42259,NA,LAKE,NA,1958,93,NA,4,76067,CAL FIRE,"T,B,G",ELECTRICAL POWER,csv
BEU-4217,TASSAJARA,2015,42266,NA,MONTEREY,NA,20,1,NA,NA,1086,CAL FIRE,B,UNDETERMINED,csv
BTU-14554,MERIDIAN,2015,42280,NA,BUTTE,NA,NA,NA,NA,NA,860,CAL FIRE,G,EQUIPMENT,csv
BEU-4582,CIENEGA,2015,42289,NA,SAN BENITO,NA,NA,NA,NA,NA,690,CAL FIRE,"T,B",ELECTRICAL POWER,csv
OVD-107,VAN DYKE,2015,42041,42045,MONO,NA,NA,NA,NA,NA,509,USFS,BG,UNDETERMINED,csv
MCP-1207,CARL,2015,42122,42123,SAN DIEGO,NA,NA,NA,NA,NA,4000,DOD,B,UNDETERMINED,csv
MCP-1210,MORTAR,2015,42122,42123,SAN DIEGO,NA,NA,NA,NA,NA,800,DOD,B,UNDETERMINED,csv
MCP-1212,GRENADE,2015,42123,42129,SAN DIEGO,NA,NA,NA,NA,NA,2025,DOD,B,UNDETERMINED,csv
SHF-1371,SADDLE,2015,42164,42180,TRINITY,NA,NA,NA,NA,NA,1542,USFS,"T,B",LIGHTNING,csv
FHL-001570,PEANUT,2015,42166,42166,MONTEREY,NA,NA,NA,NA,NA,1532,DOD,G,UNDETERMINED,csv
BDF-7894,LAKE,2015,42172,42190,SAN BERNARDINO,NA,4,NA,NA,NA,31359,USFS,"T,B",UNDETERMINED,csv
SNF-1058,SKY,2015,42173,42181,MADERA,NA,NA,NA,NA,NA,500,USFS,"T,B",VEHICLE,csv
LAC-173220,CALGROVE,2015,42179,42181,LOS ANGELES,NA,NA,1,NA,NA,415,LAC,B,UNDETERMINED,csv
BDF-9001,NORTH,2015,42202,42206,SAN BERNARDINO,NA,23,5,NA,NA,4250,USFS,"B,G",UNDETERMINED,csv
SQF-2313,CABIN,2015,42204,42252,TULARE,NA,NA,NA,NA,NA,6980,USFS,T,LIGHTNING,csv
SNF-1689,WILLOW,2015,42210,42231,MADERA,NA,NA,NA,NA,NA,5702,USFS,T,UNDETERMINED,csv
MDF-570,FROG,2015,42215,42222,MODOC,NA,NA,NA,1,NA,4863,USFS,T,LIGHTNING,csv
SHF-2066,RIVER COMPLEX,2015,42215,42292,TRINITY,NA,NA,NA,NA,NA,77081,USFS,T,LIGHTNING,csv
SRF-1476,ROUTE COMPLEX,2015,42215,42247,HUMBOLDT,NA,2,NA,NA,NA,35675,USFS,T,LIGHTNING,csv
SHF-2067,FORK COMPLEX (split into Fork and South),2015,42215,42245,TRINITY,NA,12,NA,NA,NA,36499,USFS,"T,B,G",UNDETERMINED,csv
SRF-1433,MAD RIVER COMPLEX,2015,42215,42250,TRINITY,NA,4,NA,NA,NA,37462,USFS,T,LIGHTNING,csv
SNF-1746,ROUGH,2015,42216,42339,FRESNO,NA,4,NA,NA,NA,151623,USFS,"T,B,G",LIGHTNING,csv
SHF-2108,SOUTH COMPLEX,2015,42217,42278,TRINITY,NA,3,NA,NA,NA,29416,USFS,T,LIGHTNING,csv
SRF-1470,NICKOWITZ,2015,42217,42277,DEL NORTE,NA,NA,NA,NA,NA,7509,USFS,T,LIGHTNING,csv
NOD-3806,DODGE,2015,42219,42233,LASSEN,NA,NA,NA,NA,NA,10570,BLM,B,HUMAN,csv
SRF-1488,GASQUET COMPLEX,2015,42216,42292,DEL NORTE,NA,NA,NA,NA,NA,30361,USFS,T,LIGHTNING,csv
MCP-2459,HORNO,2015,42229,42233,SAN DIEGO,NA,NA,NA,NA,NA,1846,DOD,B,HUMAN,csv
