incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
BDU-5618,MOFFAT,2018,04/19/18,04/24/18,INYO,NA,NA,NA,NA,NA,"1,065",CAL FIRE,"B, G",UNDETERMINED,pdf
MMU-8764,NEES,2018,05/02/18,05/02/18,MERCED,NA,NA,NA,NA,NA,"1,756",CAL FIRE,G,EQUIPMENT USE,pdf
RRU-62932,PATTERSON,2018,05/17/18,05/18/18,RIVERSIDE,NA,NA,NA,NA,NA,"1,261",CAL FIRE,"B, G",EQUIPMENT USE,pdf
MMU-10096,CANAL,2018,05/19/18,05/20/18,MADERA,NA,NA,NA,NA,NA,300,CAL FIRE,G,ELECTRICAL POWER,pdf
LAC-166129,STONE,2018,06/04/18,06/08/18,LOS ANGELES,NA,NA,NA,NA,NA,"1,352",CC,"B, G",HUMAN,pdf
MMU-11264,O'NEALS,2018,06/04/18,06/07/18,MADERA,NA,NA,NA,NA,NA,300,CAL FIRE,"B, G",EQUIPMENT USE,pdf
BEU-2666,AIRLINE 2,2018,06/04/18,06/12/18,SAN BENITO,NA,NA,NA,NA,NA,"1,314",CAL FIRE,"B, G",UNDETERMINED,pdf
BEU-2668,EASTERN 2,2018,06/04/18,06/12/18,SAN BENITO,NA,NA,NA,NA,NA,513,CAL FIRE,"B, G",ELECTRICAL POWER,pdf
TGU-5555,APPLE,2018,06/09/18,06/12/18,TEHAMA,NA,9,3,NA,NA,"2,956",CAL FIRE,"B, G",EQUIPMENT USE,pdf
TGU-5560,CHROME,2018,06/09/18,06/22/18,GLENN,NA,1,NA,NA,NA,"2,290",CAL FIRE,"B, G",MISCELLANEOUS,pdf
MMU-12081,PLANADA,2018,06/15/18,06/19/18,MERCED,NA,NA,NA,NA,NA,"4,563",CAL FIRE,G,EQUIPMENT USE,pdf
LNU-9002,PAWNEE,2018,06/23/18,07/08/18,LAKE,NA,22,6,NA,NA,"15,180",CAL FIRE,"B, G",TARGET SHOOTING,pdf
TGU-6031,LANE,2018,06/23/18,07/04/18,TEHAMA,NA,NA,NA,NA,NA,"3,392",CAL FIRE,"B, G",UNDETERMINED,pdf
TGU-6589,PANTHER,2018,06/24/18,06/26/18,SHASTA,NA,NA,NA,NA,NA,386,CAL FIRE,G,CAMPFIRE,pdf
BTU-9333,SHIPPEE,2018,06/26/18,06/27/18,BUTTE,NA,NA,NA,NA,NA,460,CAL FIRE,G,ELECTRICAL POWER,pdf
LMU-3203,HYATT,2018,06/27/18,06/29/18,LASSEN,NA,4,NA,NA,NA,383,CAL FIRE,"B, G",PLAYING WITH FIRE,pdf
TCU-7477,WAVERLY,2018,06/29/18,07/12/18,SAN JOAQUIN,NA,1,NA,NA,NA,"11,789",CAL FIRE,"G, T",EQUIPMENT USE,pdf
LNU-9502,COUNTY,2018,06/30/18,07/14/18,YOLO,NA,29,4,NA,NA,"90,000",CAL FIRE,"B, G, T",ELECTRICAL POWER,pdf
AEU-18477,SHINGLE,2018,07/04/18,07/05/18,EL DORADO,NA,NA,NA,NA,NA,316,CAL FIRE,G,EXPLOSIVE DEVICE,pdf
SKU-4641,KLAMATHON,2018,07/05/18,07/21/18,SISKIYOU,NA,83,12,NA,1,"38,008",CAL FIRE,"B, G, T",ARSON,pdf
BDU-9683,VALLEY,2018,07/06/18,07/12/18,SAN BERNARDINO,NA,NA,NA,NA,NA,"1,350",CAL FIRE,"B, T",UNDETERMINED,pdf
AEU-18720,IRISH,2018,07/06/18,07/09/18,AMADOR,NA,1,1,NA,NA,825,CAL FIRE,"G, T",EQUIPMENT USE,pdf
SCU-4856,GRANT,2018,07/08/18,07/09/18,ALAMEDA,NA,1,NA,NA,NA,480,CAL FIRE,G,FIREWORKS,pdf
TGU-6649,DALE,2018,07/09/28,07/09/18,TEHAMA,NA,NA,NA,NA,NA,856,CAL FIRE,G,VEHICLE,pdf
LNU-10755,EIGHTY EIGHT,2018,07/18/18,07/21/18,YOLO,NA,NA,NA,NA,NA,822,CAL FIRE,"B, G",UNDETERMINED,pdf
SCU-5218,COUNTRY,2018,07/22/18,07/24/18,SANTA CLARA,NA,NA,NA,NA,NA,320,CAL FIRE,"B, G",EQUIPMENT USE,pdf
SHU-7808,CARR,2018,07/23/18,09/01/18,SHASTA,NA,"1,614",279,3,4,"229,651",CAL FIRE,"B, G",VEHICLE,pdf
MVU-11206,PASCUAL,2018,07/27/18,07/31/18,SAN DIEGO,NA,NA,NA,NA,NA,365,CAL FIRE,B,UNDETERMINED,pdf
MEU-8653,RIVER-MENDOCINO COMPLEX,2018,07/27/18,09/27/18,"COLUSA, LAKE, MENDOCINO",NA,35,11,NA,NA,"48,920",CAL FIRE,"B, G, T",UNDETERMINED,pdf
