incident_id,incident_name,start_year,date_start,date_cont,county_unit,structures_dest_or_dam,structures_dest,structures_dam,fatalities_fire,fatalities_civilian,acres_burned,origin_dpa,veg_type,cause,df_source
FKU-5281,JAYNE,2017,04/20/17,04/21/17,FRESNO,NA,NA,NA,NA,NA,"4,532",CAL FIRE,G,EQUIPMENT USE,pdf
FKU-5669,EL DORADO,2017,04/28/17,04/28/17,FRESNO,NA,NA,NA,NA,NA,750,CAL FIRE,G,UNDETERMINED,pdf
RRU-53193,OPERA,2017,04/30/17,05/02/17,RIVERSIDE,NA,NA,NA,NA,NA,"1,350",CAL FIRE,"B, G",VEHICLE,pdf
MMU-9464,WRIGHT,2017,05/12/17,05/13/17,MERCED,NA,NA,NA,NA,NA,"1,733",CAL FIRE,G,UNDETERMINED,pdf
FKU-6727,ELM 2,2017,05/18/17,05/21/17,FRESNO,NA,NA,NA,NA,NA,"10,000",CAL FIRE,"B, G",ELECTRICAL POWER,pdf
KRN-18713,MING,2017,05/20/17,05/22/17,KERN,NA,NA,NA,NA,NA,506,CC,G,UNDETERMINED,pdf
MVU-12098,GATE,2017,05/20/17,05/22/17,SAN DIEGO,NA,NA,NA,NA,NA,"2,056",CAL FIRE,"B, G",UNDETERMINED,pdf
TUU-286,DINELY,2017,06/07/17,06/10/17,TULARE,NA,NA,NA,NA,NA,339,CAL FIRE,R G,EQUIPMENT USE,pdf
MMU-11650,OAKWOOD,2017,06/10/17,06/13/17,MADERA,NA,NA,NA,NA,NA,"1,417",CAL FIRE,"B, G",SHOOTING,pdf
FKU-8044,MONTEREY,2017,06/11/17,06/11/17,FRESNO,NA,NA,NA,NA,NA,450,CAL FIRE,G,SHOOTING,pdf
LAC-178275,LAKE,2017,06/17/17,06/23/17,LOS ANGELES,NA,NA,2,NA,NA,850,CC,R G,UNDETERMINED,pdf
FKU-8759,CREEK,2017,06/23/17,06/27/17,FRESNO,NA,4,NA,NA,NA,357,CAL FIRE,R G,DEBRIS BURNING,pdf
LAC-187296,PLACERITA,2017,06/25/17,06/28/17,LOS ANGELES,NA,1,1,NA,NA,760,CC,R G,DEBRIS BURNING,pdf
RRU-78840,MANZANITA,2017,06/26/17,06/30/17,RIVERSIDE,NA,NA,NA,NA,NA,"6,309",CAL FIRE,"B, G",VEHICLE,pdf
SLU-7101,HILL,2017,06/26/17,06/28/17,SAN LUIS OBISPO,NA,7,NA,NA,NA,"1,626",CAL FIRE,"B, G",VEHICLE,pdf
MMU-13022,BEN,2017,06/28/17,07/06/17,MARIPOSA,NA,NA,NA,NA,NA,558,CAL FIRE,R G,VEHICLE,pdf
KRN-24894,TARINA,2017,06/30/17,07/01/17,KERN,NA,NA,NA,NA,NA,"1,200",CC,G,UNDETERMINED,pdf
FKU-9289,DERRICK,2017,07/02/17,07/05/17,FRESNO,NA,NA,NA,NA,NA,"1,562",CAL FIRE,"B, G",UNDETERMINED,pdf
S KU-4779,FAY,2017,07/05/17,07/31/17,SISKIYOU,NA,1,NA,NA,NA,496,CAL FIRE,R G T,MISCELLANEOUS,pdf
LNU-6262,WINTER,2017,07/06/17,07/14/17,YOLO,NA,NA,NA,NA,NA,"1,700",CAL FIRE,"B, T",VEHICLE,pdf
SLU-7624,ALAMO,2017,07/06/17,07/18/17,SAN LUIS OBISPO,NA,14,1,NA,NA,"28,687",CAL FIRE,"B, G",UNDETERMINED,pdf
BTU-10975,WALL,2017,07/07/17,08/03/17,BUTTE,NA,91,10,NA,NA,"6,033",CAL FIRE,"B, G",ELECTRICAL POWER,pdf
BEU-3551,PARKFIELD,2017,07/08/17,07/08/17,MONTEREY,NA,NA,1,NA,NA,"1,816",CAL FIRE,"B, G",ELECTRICAL POWER,pdf
FKU-9755,GARZA,2017,07/09/17,07/25/17,KINGS,NA,1,NA,NA,NA,"48,660",CAL FIRE,"B, G",EQUIPMENT USE,pdf
SLU-7792,STONE,2017,07/09/17,07/11/17,SAN LUIS OBISPO,NA,3,NA,NA,NA,340,CAL FIRE,"B, G",EQUIPMENT USE,pdf
MVU-16909,JENNINGS 2,2017,07/11/17,07/14/17,SAN DIEGO,NA,NA,NA,NA,NA,400,CAL FIRE,"B, G",VEHICLE,pdf
BDU-9854,BRIDGE 2,2017,07/14/17,07/18/17,SAN BERNARDINO,NA,NA,NA,NA,NA,460,CAL FIRE,"B, G",UNDETERMINED,pdf
MEU-8307,GRADE,2017,07/16/17,07/18/17,MENDOCINO,NA,1,NA,NA,NA,900,CAL FIRE,"B, G",VEHICLE,pdf
MMU-14474,DETWILER,2017,07/16/17,08/31/17,MARIPOSA,NA,134,21,NA,NA,"81,826",CAL FIRE,"B, G",SHOOTING,pdf
F KU-10248,PARK,2017,07/17/17,07/30/17,FRESNO,NA,NA,NA,NA,NA,"1,649",CAL FIRE,"B, G",EQUIPMENT USE,pdf
TUU-420,ELEPHANT 2,2017,07/20/17,07/21/17,TULARE,NA,NA,NA,NA,NA,416,CAL FIRE,G,ARSON,pdf
AEU-21652,LATROBE,2017,07/26/17,07/28/17,SACRAMENTO,NA,NA,NA,NA,NA,"1,268",CAL FIRE,G,DEBRIS BURNING,pdf
TCU-9024,JACKSONVILLE,2017,07/29/17,08/04/17,TOULUMNE,NA,1,NA,NA,NA,675,CAL FIRE,"B, G",UNDETERMINED,pdf
TUU-441,ROADRUNNER,2017,07/30/17,07/31/17,TULARE,NA,NA,NA,NA,NA,"2,289",CAL FIRE,G,ARSON,pdf
BDU-10918,BRYANT 2,2017,08/03/17,08/14/17,SAN BERNARDINO,NA,1,NA,NA,NA,325,CAL FIRE,"B, G",UNDETERMINED,pdf
RRU-99747,BLAINE,2017,08/13/17,08/16/17,RIVERSIDE,NA,NA,46,NA,NA,"1,500",CAL FIRE,"B, G",UNDETERMINED,pdf
RRU-100591,MIAS,2017,08/14/17,08/18/17,RIVERSIDE,NA,NA,NA,NA,NA,600,CAL FIRE,"B, G",ELECTRICAL POWER,pdf
BTU-13737,PONDEROSA,2017,08/29/17,10/28/17,BUTTE,NA,55,NA,NA,NA,"4,016",CAL FIRE,"B, T",CAMPFIRE,pdf
NEU-22877,PLEASANT,2017,08/30/17,09/06/17,NEVADA,NA,1,1,NA,NA,392,CAL FIRE,"B, T",UNDETERMINED,pdf
RRU-108660,PALMER,2017,09/02/17,09/09/17,RIVERSIDE,NA,NA,1,NA,NA,"3,800",CAL FIRE,"B, G",PLAYING WITH FIRE,pdf
MMU-18115,MISSION,2017,09/03/17,09/13/17,MADERA,NA,7,4,NA,NA,"1,037",CAL FIRE,"B, T",ELECTRICAL POWER,pdf
MMU-18116,PEAK,2017,09/03/17,09/09/17,MADERA,NA,4,NA,NA,NA,680,CAL FIRE,"B, T",VEHICLE,pdf
SHU-9460,BERRY,2017,09/12/17,10/04/17,SHASTA,NA,NA,NA,NA,NA,900,CAL FIRE,B,LIGHTNING,pdf
MMU-19222,EASTMAN,2017,09/18/17,09/19/17,MADERA,NA,NA,NA,NA,NA,483,CAL FIRE,G,ELECTRICAL POWER,pdf
SBC-12621,RUCKER,2017,09/29/17,10/04/17,SANTA BARBARA,NA,NA,NA,NA,NA,444,CC,"B, G",MISCELLANEOUS,pdf
ORC-1478,CANYON,2017,09/25/17,10/03/17,ORANGE,NA,NA,7,NA,NA,"2,662",CC,"B, G",MISCELLANEOUS,pdf
BTU-15933,CHEROKEE,2017,10/08/17,11/05/17,BUTTE,NA,6,1,NA,NA,"8,500",CAL FIRE,"B, G",ELECTRICAL POWER,pdf
NEU-26269,CASCADE (NEU WIND COMPLEX)*,2017,10/08/17,10/19/17,YUBA,NA,264,10,NA,4,"9,989",CAL FIRE,"B, T",ELECTRICAL POWER,pdf
NEU-26279,MCCOURTNEY (NEU WIND COMPLEX),2017,10/08/17,10/21/17,NEVADA,NA,13,2,NA,NA,76,CAL FIRE,"B, T",ELECTRICAL POWER,pdf
NEU-26275,LOBO (NEU WIND COMPLEX),2017,10/08/17,10/22/17,NEVADA,NA,47,2,NA,NA,821,CAL FIRE,"B, T",ELECTRICAL POWER,pdf
LNU-10045,TUBBS(CENTRAL LNU COMPLEX),2017,10/08/17,10/31/17,NAPA,NA,"5,636",317,1,21,"36,807",CAL FIRE,"B, G, T",ELECTRICAL POWER,pdf
LNU-10049,NUNS (CENTRAL LNU COMPLEX),2017,10/09/17,10/31/17,SONOMA,NA,"1,355",172,NA,3,"44,573",CAL FIRE,"B, G, T",ELECTRICAL POWER,pdf
LNU-10050,ADOBE (CENTRAL LNU COMPLEX - NUNS),2017,10/08/17,10/31/17,SONOMA,NA,NA,NA,NA,NA,"3,700",CAL FIRE,"B, G, T",ELECTRICAL POWER,pdf
